Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
162507,Lightning Charging Cable,5,30000,12/14/23 17:22,"Kebon Sirih St, Surabaya, Jawa Timur 97035"
162508,USB-C Charging Cable,7,20000,12/12/23 19:06,"Pemuda St, Depok, Jawa Barat 73301"
162509,ThinkPad Laptop,7,15000000,12/25/23 15:40,"Gajah Mada St, Tangerang, Banten 10001"
162510,Google Pixel,9,15000000,12/17/23 20:02,"Pahlawan St, Jakarta, DKI Jakarta 02215"
162511,AA Batteries (4-pack),10,40000,12/12/23 23:03,"Gatot Subroto St, Bandung, Jawa Barat 94016"
162512,Bose SoundSport Headphones,9,1500000,12/21/23 09:42,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
162513,Bose SoundSport Headphones,4,1500000,12/27/23 04:39,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
162514,27in FHD Monitor,2,3000000,12/30/23 19:23,"Pahlawan St, Bandung, Jawa Barat 94016"
162515,Macbook Pro Laptop,7,26000000,12/22/23 09:01,"H. Agus Salim St, Bekasi, Jawa Barat 30301"
162516,34in Ultrawide Monitor,7,6000000,12/09/23 17:54,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
162517,AA Batteries (4-pack),10,40000,12/10/23 09:43,"Pangeran Diponegoro St, Cirebon, Jawa Barat 90001"
162518,ThinkPad Laptop,4,15000000,12/13/23 16:33,"Veteran St, Surabaya, Jawa Timur 97035"
162519,USB-C Charging Cable,3,20000,12/30/23 18:18,"Gatot Subroto St, Bandung, Jawa Barat 94016"
162520,USB-C Charging Cable,8,20000,12/27/23 12:51,"Asia Tenggara St, Bandung, Jawa Barat 94016"
162521,LG Dryer,4,9000000,12/05/23 10:48,"Ir. H. Juanda St, Tangerang, Banten 10001"
162522,Apple Airpods Headphones,5,2500000,12/23/23 15:04,"Merdeka St, Bandung, Jawa Barat 94016"
162523,AA Batteries (4-pack),6,40000,12/23/23 23:05,"Pemuda St, Cirebon, Jawa Barat 90001"
162524,Bose SoundSport Headphones,8,1500000,12/12/23 18:18,"Ir. H. Juanda St, Bekasi, Jawa Barat 30301"
162524,27in FHD Monitor,5,3000000,12/12/23 18:18,"Ir. H. Juanda St, Bekasi, Jawa Barat 30301"
162525,34in Ultrawide Monitor,2,6000000,12/11/23 12:37,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
162526,Apple Airpods Headphones,4,2500000,12/03/23 20:24,"Gajah Mada St, Cirebon, Jawa Barat 90001"
162527,USB-C Charging Cable,2,20000,12/16/23 18:19,"H. Agus Salim St, Cirebon, Jawa Barat 90001"
162528,AA Batteries (4-pack),5,40000,12/29/23 08:32,"H. Agus Salim St, Jakarta, DKI Jakarta 02215"
162529,Macbook Pro Laptop,9,26000000,12/09/23 17:36,"Pemuda St, Cirebon, Jawa Barat 90001"
162530,Macbook Pro Laptop,8,26000000,12/18/23 10:40,"Asia Tenggara St, Bandung, Jawa Barat 94016"
162531,Bose SoundSport Headphones,8,1500000,12/12/23 10:33,"M. H. Thamrin St, Depok, Jawa Barat 73301"
162532,Google Pixel,9,15000000,12/06/23 02:45,"Jend. Sudirman St, Bogor, Jawa Barat 75001"
162533,Wired Headphones,2,150000,12/27/23 06:19,"Asia Tenggara St, Depok, Jawa Barat 73301"
162534,Apple Airpods Headphones,1,2500000,12/05/23 19:34,"Panglima Polin St, Bandung, Jawa Barat 94016"
162535,AAA Batteries (4-pack),9,32000,12/07/23 11:14,"Kebon Sirih St, Semarang, Jawa Tengah 98101"
162536,AA Batteries (4-pack),10,40000,12/23/23 18:45,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
162537,USB-C Charging Cable,4,20000,12/16/23 15:18,"Jend. Sudirman St, Bekasi, Jawa Barat 30301"
162538,Lightning Charging Cable,5,30000,12/26/23 16:14,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
162539,Apple Airpods Headphones,4,2500000,12/03/23 12:12,"Asia Afrika St, Surabaya, Jawa Timur 97035"
162540,Wired Headphones,6,150000,12/08/23 20:12,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
162541,Wired Headphones,3,150000,12/19/23 21:08,"Jend. Ahmad Yani St, Semarang, Jawa Tengah 98101"
162542,27in FHD Monitor,7,3000000,12/26/23 19:08,"Kebon Sirih St, Tangerang, Banten 10001"
162543,USB-C Charging Cable,9,20000,12/13/23 11:42,"Dewi Sartika St, Tangerang, Banten 10001"
162544,AA Batteries (4-pack),10,40000,12/04/23 21:25,"Veteran St, Bekasi, Jawa Barat 30301"
162545,AAA Batteries (4-pack),2,32000,12/10/23 18:08,"Gajah Mada St, Bandung, Jawa Barat 94016"
162546,AAA Batteries (4-pack),7,32000,12/15/23 03:06,"Asia Tenggara St, Bandung, Jawa Barat 94016"
162547,Wired Headphones,10,150000,12/07/23 17:47,"Asia Afrika St, Cirebon, Jawa Barat 90001"
162548,Bose SoundSport Headphones,3,1500000,12/08/23 13:15,"Pahlawan St, Bandung, Jawa Barat 94016"
162549,Lightning Charging Cable,9,30000,12/12/23 19:22,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
162550,Bose SoundSport Headphones,5,1500000,12/09/23 00:58,"Hayam Wuruk St, Tangerang, Banten 10001"
162551,USB-C Charging Cable,4,20000,12/21/23 10:07,"H. Agus Salim St, Bandung, Jawa Barat 94016"
162552,Google Pixel,4,15000000,12/14/23 18:06,"Raden Ajeng Kartini St, Jakarta, DKI Jakarta 02215"
162553,Lightning Charging Cable,1,30000,12/14/23 21:07,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
162554,LG Dryer,3,9000000,12/10/23 14:24,"Jend. Sudirman St, Cirebon, Jawa Barat 90001"
162555,20in Monitor,7,2000000,12/28/23 13:34,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
162556,USB-C Charging Cable,4,20000,12/28/23 10:42,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
162557,USB-C Charging Cable,2,20000,12/08/23 22:20,"Merdeka St, Depok, Jawa Barat 73301"
162558,iPhone,10,18000000,12/26/23 19:01,"Panglima Polin St, Bogor, Jawa Barat 75001"
162559,AAA Batteries (4-pack),10,32000,12/09/23 13:14,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
162560,AA Batteries (4-pack),8,40000,12/08/23 17:14,"Merdeka St, Bogor, Jawa Barat 75001"
162561,Apple Airpods Headphones,2,2500000,12/21/23 14:53,"Raden Ajeng Kartini St, Bekasi, Jawa Barat 30301"
162562,Wired Headphones,6,150000,12/31/23 10:27,"Gajah Mada St, Bekasi, Jawa Barat 30301"
162563,Wired Headphones,4,150000,12/12/23 20:57,"Asia Tenggara St, Semarang, Jawa Tengah 98101"
162564,Lightning Charging Cable,1,30000,12/12/23 20:36,"Ir. H. Juanda St, Semarang, Jawa Tengah 98101"
162565,Bose SoundSport Headphones,1,1500000,12/25/23 22:04,"Pemuda St, Bandung, Jawa Barat 94016"
162566,ThinkPad Laptop,7,15000000,12/20/23 02:27,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
162567,Bose SoundSport Headphones,10,1500000,12/06/23 15:58,"Imam Bonjol St, Bandung, Jawa Barat 94016"
162568,Lightning Charging Cable,10,30000,12/28/23 20:16,"Panglima Polin St, Bogor, Jawa Barat 75001"
162569,Wired Headphones,10,150000,12/20/23 19:42,"Merdeka St, Tangerang, Banten 10001"
162570,Flatscreen TV,6,4000000,12/16/23 10:30,"Gatot Subroto St, Tangerang, Banten 10001"
162571,AAA Batteries (4-pack),1,32000,12/09/23 21:35,"Gajah Mada St, Cirebon, Jawa Barat 90001"
162572,AA Batteries (4-pack),5,40000,12/01/23 07:47,"Gatot Subroto St, Bekasi, Jawa Barat 30301"
162573,Lightning Charging Cable,4,30000,12/20/23 10:03,"Pangeran Diponegoro St, Depok, Jawa Barat 73301"
162574,Bose SoundSport Headphones,4,1500000,12/29/23 11:50,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
162575,Wired Headphones,9,150000,12/30/23 22:18,"Imam Bonjol St, Jakarta, DKI Jakarta 02215"
162576,27in 4K Gaming Monitor,4,6400000,12/19/23 18:42,"Hayam Wuruk St, Depok, Jawa Barat 73301"
162577,iPhone,1,18000000,12/17/23 08:57,"Veteran St, Bandung, Jawa Barat 94016"
162578,USB-C Charging Cable,5,20000,12/06/23 08:17,"Kebon Sirih St, Cirebon, Jawa Barat 90001"
162579,Lightning Charging Cable,4,30000,12/15/23 21:56,"Pangeran Diponegoro St, Surabaya, Jawa Timur 97035"
162580,27in FHD Monitor,1,3000000,12/22/23 14:29,"Gatot Subroto St, Semarang, Jawa Tengah 98101"
162581,AA Batteries (4-pack),6,40000,12/14/23 02:04,"Gajah Mada St, Tangerang, Banten 10001"
162582,27in FHD Monitor,3,3000000,12/11/23 07:08,"Hayam Wuruk St, Bandung, Jawa Barat 94016"
162583,ThinkPad Laptop,3,15000000,12/18/23 22:19,"Pahlawan St, Tangerang, Banten 10001"
162584,Wired Headphones,6,150000,12/03/23 12:37,"Gatot Subroto St, Depok, Jawa Barat 73301"
162585,Google Pixel,10,15000000,12/22/23 10:34,"Ir. H. Juanda St, Jakarta, DKI Jakarta 02215"
162586,Wired Headphones,6,150000,12/20/23 09:40,"Dewi Sartika St, Jakarta, DKI Jakarta 02215"
162587,Bose SoundSport Headphones,4,1500000,12/11/23 14:07,"Ir. H. Juanda St, Yogyakarta, DIY Yogyakarta 04101"
162588,AAA Batteries (4-pack),3,32000,12/05/23 18:26,"Veteran St, Bandung, Jawa Barat 94016"
162589,Lightning Charging Cable,10,30000,12/22/23 19:16,"Imam Bonjol St, Bekasi, Jawa Barat 30301"
162590,Wired Headphones,4,150000,12/24/23 13:03,"Merdeka St, Bandung, Jawa Barat 94016"
162591,27in 4K Gaming Monitor,1,6400000,12/03/23 09:55,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
162592,Bose SoundSport Headphones,8,1500000,12/23/23 13:05,"Merdeka St, Jakarta, DKI Jakarta 02215"
162593,AAA Batteries (4-pack),3,32000,12/14/23 12:22,"Gatot Subroto St, Bogor, Jawa Barat 75001"
162594,USB-C Charging Cable,6,20000,12/25/23 11:56,"Gatot Subroto St, Tangerang, Banten 10001"
162595,AA Batteries (4-pack),1,40000,12/23/23 11:39,"Dewi Sartika St, Cirebon, Jawa Barat 90001"
162596,Apple Airpods Headphones,6,2500000,12/29/23 22:01,"Panglima Polin St, Cirebon, Jawa Barat 90001"
