Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
143165,Macbook Pro Laptop,9,26000000,02/26/23 12:30,"Pahlawan St, Semarang, Jawa Tengah 98101"
143166,27in 4K Gaming Monitor,4,6400000,02/19/23 00:57,"Soekarno Hatta St, Bogor, Jawa Barat 75001"
143167,Lightning Charging Cable,1,30000,02/10/23 10:22,"Pahlawan St, Bekasi, Jawa Barat 30301"
143168,34in Ultrawide Monitor,3,6000000,02/03/23 14:31,"H. Agus Salim St, Semarang, Jawa Tengah 98101"
143169,Macbook Pro Laptop,6,26000000,02/08/23 09:07,"Asia Tenggara St, Bandung, Jawa Barat 94016"
Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
143170,Lightning Charging Cable,8,30000,02/01/23 06:42,"Raden Ajeng Kartini St, Cirebon, Jawa Barat 90001"
143171,27in 4K Gaming Monitor,4,6400000,02/17/23 19:07,"Merdeka St, Bogor, Jawa Barat 75001"
143172,Wired Headphones,3,150000,02/14/23 13:58,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
143173,Lightning Charging Cable,5,30000,02/16/23 19:26,"Kebon Sirih St, Bogor, Jawa Barat 75001"
143174,USB-C Charging Cable,10,20000,02/14/23 01:02,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
143175,USB-C Charging Cable,9,20000,02/09/23 12:34,"Asia Afrika St, Jakarta, DKI Jakarta 02215"
143176,Lightning Charging Cable,3,30000,02/17/23 16:58,"Ir. H. Juanda St, Bandung, Jawa Barat 94016"
143177,Wired Headphones,6,150000,02/05/23 12:55,"Merdeka St, Surabaya, Jawa Timur 97035"
143178,Lightning Charging Cable,3,30000,02/12/23 21:13,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
143179,AA Batteries (4-pack),7,40000,02/24/23 22:14,"Panglima Polin St, Semarang, Jawa Tengah 98101"
143180,Flatscreen TV,3,4000000,02/26/23 21:08,"Panglima Polin St, Surabaya, Jawa Timur 97035"
143181,Apple Airpods Headphones,10,2500000,02/08/23 18:34,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
143182,AAA Batteries (4-pack),4,32000,02/21/23 17:58,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
143183,Bose SoundSport Headphones,2,1500000,02/28/23 09:07,"Dewi Sartika St, Bandung, Jawa Barat 94016"
143184,34in Ultrawide Monitor,8,6000000,02/15/23 19:08,"Panglima Polin St, Cirebon, Jawa Barat 90001"
143185,Bose SoundSport Headphones,8,1500000,02/02/23 21:45,"Veteran St, Bandung, Jawa Barat 94016"
143186,Wired Headphones,5,150000,02/22/23 18:06,"Veteran St, Jakarta, DKI Jakarta 02215"
143187,27in 4K Gaming Monitor,5,6400000,02/10/23 18:17,"Asia Tenggara St, Jakarta, DKI Jakarta 02215"
143188,Apple Airpods Headphones,4,2500000,02/19/23 06:42,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
143189,AAA Batteries (4-pack),10,32000,02/08/23 09:18,"Dewi Sartika St, Jakarta, DKI Jakarta 02215"
143190,AA Batteries (4-pack),3,40000,02/21/23 18:31,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
143191,AAA Batteries (4-pack),5,32000,02/10/23 22:15,"Panglima Polin St, Cirebon, Jawa Barat 90001"
143192,Wired Headphones,7,150000,02/25/23 09:11,"Merdeka St, Bogor, Jawa Barat 75001"
143193,AAA Batteries (4-pack),9,32000,02/19/23 19:55,"Asia Tenggara St, Bandung, Jawa Barat 94016"
143193,34in Ultrawide Monitor,6,6000000,02/19/23 19:55,"Asia Tenggara St, Bandung, Jawa Barat 94016"
143194,Bose SoundSport Headphones,2,1500000,02/18/23 00:13,"Pemuda St, Yogyakarta, DIY Yogyakarta 04101"
143195,Wired Headphones,10,150000,02/16/23 11:50,"Gajah Mada St, Jakarta, DKI Jakarta 02215"
143196,Lightning Charging Cable,1,30000,02/14/23 08:22,"Panglima Polin St, Tangerang, Banten 10001"
143197,Macbook Pro Laptop,5,26000000,02/15/23 15:43,"Panglima Polin St, Bogor, Jawa Barat 75001"
143198,34in Ultrawide Monitor,1,6000000,02/28/23 17:22,"Dewi Sartika St, Bandung, Jawa Barat 94016"
143199,Bose SoundSport Headphones,2,1500000,02/18/23 14:28,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
143200,AAA Batteries (4-pack),1,32000,02/13/23 08:29,"Soekarno Hatta St, Surabaya, Jawa Timur 97035"
143201,Google Pixel,4,15000000,02/26/23 23:13,"Gatot Subroto St, Jakarta, DKI Jakarta 02215"
143202,27in FHD Monitor,9,3000000,02/23/23 16:03,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
143203,Lightning Charging Cable,9,30000,02/28/23 14:53,"Jend. Sudirman St, Tangerang, Banten 10001"
143204,Bose SoundSport Headphones,3,1500000,02/03/23 22:56,"Pahlawan St, Bandung, Jawa Barat 94016"
143205,ThinkPad Laptop,8,15000000,02/12/23 14:35,"Soekarno Hatta St, Bogor, Jawa Barat 75001"
143206,USB-C Charging Cable,2,20000,02/12/23 17:06,"Dewi Sartika St, Tangerang, Banten 10001"
143207,AA Batteries (4-pack),6,40000,02/02/23 15:40,"Dewi Sartika St, Semarang, Jawa Tengah 98101"
143208,Apple Airpods Headphones,4,2500000,02/20/23 19:30,"Gatot Subroto St, Depok, Jawa Barat 73301"
143209,iPhone,5,18000000,02/26/23 16:40,"Hayam Wuruk St, Bekasi, Jawa Barat 30301"
143210,34in Ultrawide Monitor,6,6000000,02/22/23 18:54,"Jend. Sudirman St, Cirebon, Jawa Barat 90001"
143211,Xiaomi Phone,6,8000000,02/09/23 11:47,"Soekarno Hatta St, Bogor, Jawa Barat 75001"
143212,Wired Headphones,5,150000,02/24/23 23:44,"Pangeran Diponegoro St, Bekasi, Jawa Barat 30301"
143213,Google Pixel,6,15000000,02/08/23 09:12,"Gatot Subroto St, Bekasi, Jawa Barat 30301"
143214,AA Batteries (4-pack),10,40000,02/14/23 22:18,"Veteran St, Bogor, Jawa Barat 75001"
143215,Bose SoundSport Headphones,6,1500000,02/25/23 07:41,"Jend. Ahmad Yani St, Semarang, Jawa Tengah 98101"
143216,27in 4K Gaming Monitor,1,6400000,02/11/23 01:58,"Pangeran Diponegoro St, Jakarta, DKI Jakarta 02215"
143217,27in FHD Monitor,4,3000000,02/22/23 19:41,"Kebon Sirih St, Jakarta, DKI Jakarta 02215"
143218,ThinkPad Laptop,5,15000000,02/22/23 12:00,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
143219,AAA Batteries (4-pack),9,32000,02/20/23 12:02,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
143220,Wired Headphones,7,150000,02/06/23 11:50,"Veteran St, Semarang, Jawa Tengah 98101"
143220,Macbook Pro Laptop,9,26000000,02/06/23 11:50,"Veteran St, Semarang, Jawa Tengah 98101"
143221,iPhone,6,18000000,02/02/23 19:38,"Jend. Sudirman St, Depok, Jawa Barat 73301"
143221,Lightning Charging Cable,4,30000,02/02/23 19:38,"Jend. Sudirman St, Depok, Jawa Barat 73301"
143221,Wired Headphones,1,150000,02/02/23 19:38,"Jend. Sudirman St, Depok, Jawa Barat 73301"
143222,AAA Batteries (4-pack),3,32000,02/04/23 17:59,"Asia Afrika St, Cirebon, Jawa Barat 90001"
143223,AAA Batteries (4-pack),3,32000,02/07/23 08:27,"Raden Ajeng Kartini St, Cirebon, Jawa Barat 90001"
143224,USB-C Charging Cable,1,20000,02/19/23 13:17,"Raden Ajeng Kartini St, Tangerang, Banten 10001"
143225,Lightning Charging Cable,8,30000,02/15/23 22:19,"Asia Tenggara St, Bandung, Jawa Barat 94016"
143226,Apple Airpods Headphones,6,2500000,02/03/23 09:37,"Asia Tenggara St, Bekasi, Jawa Barat 30301"
