Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
152838,AA Batteries (4-pack),8,40000,07/10/23 11:04,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
152839,Xiaomi Phone,8,8000000,07/12/23 16:18,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
152840,USB-C Charging Cable,3,20000,07/17/23 11:25,"Jend. Ahmad Yani St, Cirebon, Jawa Barat 90001"
152841,20in Monitor,10,2000000,07/14/23 14:33,"Dewi Sartika St, Bogor, Jawa Barat 75001"
152842,27in FHD Monitor,4,3000000,07/01/23 17:48,"Panglima Polin St, Jakarta, DKI Jakarta 02215"
152843,iPhone,6,18000000,07/20/23 18:20,"Pahlawan St, Bandung, Jawa Barat 94016"
152844,Apple Airpods Headphones,7,2500000,07/27/23 12:25,"Hayam Wuruk St, Yogyakarta, DIY Yogyakarta 04101"
152845,AAA Batteries (4-pack),7,32000,07/13/23 23:36,"Dewi Sartika St, Semarang, Jawa Tengah 98101"
152846,Google Pixel,3,15000000,07/29/23 10:55,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
152847,34in Ultrawide Monitor,1,6000000,07/02/23 09:10,"Kebon Sirih St, Bogor, Jawa Barat 75001"
152848,ThinkPad Laptop,6,15000000,07/17/23 23:09,"Gatot Subroto St, Bogor, Jawa Barat 75001"
152849,Flatscreen TV,3,4000000,07/15/23 18:40,"Asia Afrika St, Semarang, Jawa Tengah 98101"
152850,USB-C Charging Cable,2,20000,07/18/23 11:42,"Pahlawan St, Cirebon, Jawa Barat 90001"
152851,Bose SoundSport Headphones,8,1500000,07/02/23 13:26,"Asia Tenggara St, Bekasi, Jawa Barat 30301"
152852,Apple Airpods Headphones,6,2500000,07/10/23 14:03,"Hayam Wuruk St, Bekasi, Jawa Barat 30301"
152853,USB-C Charging Cable,9,20000,07/18/23 18:49,"H. Agus Salim St, Bandung, Jawa Barat 94016"
152854,27in FHD Monitor,2,3000000,07/14/23 20:01,"Imam Bonjol St, Depok, Jawa Barat 73301"
152855,ThinkPad Laptop,5,15000000,07/10/23 20:17,"H. Agus Salim St, Jakarta, DKI Jakarta 02215"
152856,iPhone,6,18000000,07/27/23 12:28,"Asia Tenggara St, Bandung, Jawa Barat 94016"
152857,AA Batteries (4-pack),9,40000,07/27/23 23:00,"Gajah Mada St, Semarang, Jawa Tengah 98101"
152858,AA Batteries (4-pack),6,40000,07/15/23 18:17,"Kebon Sirih St, Bandung, Jawa Barat 94016"
152859,Wired Headphones,1,150000,07/04/23 17:58,"Pahlawan St, Bandung, Jawa Barat 94016"
152860,AAA Batteries (4-pack),6,32000,07/15/23 17:26,"Soekarno Hatta St, Bekasi, Jawa Barat 30301"
152861,Wired Headphones,4,150000,07/16/23 07:46,"Pemuda St, Jakarta, DKI Jakarta 02215"
152862,AAA Batteries (4-pack),8,32000,07/01/23 14:39,"Veteran St, Semarang, Jawa Tengah 98101"
152863,Lightning Charging Cable,3,30000,07/01/23 19:26,"Gajah Mada St, Semarang, Jawa Tengah 98101"
152864,USB-C Charging Cable,4,20000,07/13/23 18:15,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
152865,AA Batteries (4-pack),10,40000,07/28/23 00:48,"M. H. Thamrin St, Tangerang, Banten 10001"
152866,Flatscreen TV,7,4000000,07/22/23 10:41,"Pahlawan St, Bekasi, Jawa Barat 30301"
152867,AA Batteries (4-pack),9,40000,07/29/23 17:27,"Jend. Sudirman St, Semarang, Jawa Tengah 98101"
152868,34in Ultrawide Monitor,6,6000000,07/15/23 22:04,"Imam Bonjol St, Bandung, Jawa Barat 94016"
152869,Apple Airpods Headphones,5,2500000,07/16/23 12:44,"Gajah Mada St, Cirebon, Jawa Barat 90001"
152870,Flatscreen TV,3,4000000,07/26/23 14:54,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
152871,AA Batteries (4-pack),7,40000,07/24/23 13:19,"Asia Afrika St, Jakarta, DKI Jakarta 02215"
152872,Lightning Charging Cable,4,30000,07/07/23 16:59,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
152873,LG Dryer,2,9000000,07/31/23 07:19,"Hayam Wuruk St, Bogor, Jawa Barat 75001"
152874,27in 4K Gaming Monitor,6,6400000,07/11/23 08:24,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
152875,Bose SoundSport Headphones,8,1500000,07/27/23 14:14,"Pemuda St, Bandung, Jawa Barat 94016"
152876,AAA Batteries (4-pack),6,32000,07/18/23 01:48,"Pahlawan St, Bandung, Jawa Barat 94016"
152877,Wired Headphones,3,150000,07/22/23 14:26,"Dewi Sartika St, Bekasi, Jawa Barat 30301"
152878,iPhone,10,18000000,07/10/23 18:50,"M. H. Thamrin St, Depok, Jawa Barat 73301"
152879,20in Monitor,8,2000000,07/09/23 10:16,"Panglima Polin St, Semarang, Jawa Tengah 98101"
152880,ThinkPad Laptop,8,15000000,07/05/23 10:09,"Asia Afrika St, Surabaya, Jawa Timur 97035"
152881,27in FHD Monitor,9,3000000,07/31/23 14:42,"Asia Tenggara St, Cirebon, Jawa Barat 90001"
152882,27in FHD Monitor,5,3000000,07/23/23 13:22,"Asia Tenggara St, Depok, Jawa Barat 73301"
152883,Lightning Charging Cable,6,30000,07/26/23 11:52,"Gajah Mada St, Bekasi, Jawa Barat 30301"
152884,Wired Headphones,5,150000,07/06/23 18:18,"Gatot Subroto St, Bandung, Jawa Barat 94016"
152885,27in 4K Gaming Monitor,10,6400000,07/07/23 09:21,"Ir. H. Juanda St, Bogor, Jawa Barat 75001"
152886,Wired Headphones,4,150000,07/16/23 12:06,"Ir. H. Juanda St, Bekasi, Jawa Barat 30301"
152887,iPhone,9,18000000,07/11/23 18:04,"Hayam Wuruk St, Surabaya, Jawa Timur 97035"
152888,Lightning Charging Cable,7,30000,07/11/23 21:03,"Veteran St, Bandung, Jawa Barat 94016"
152889,Macbook Pro Laptop,7,26000000,07/11/23 12:21,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
152890,Wired Headphones,6,150000,07/19/23 21:03,"Dewi Sartika St, Tangerang, Banten 10001"
152891,USB-C Charging Cable,8,20000,07/01/23 12:23,"Jend. Ahmad Yani St, Tangerang, Banten 10001"
152892,Apple Airpods Headphones,1,2500000,07/25/23 18:01,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
152893,Lightning Charging Cable,2,30000,07/06/23 07:56,"Pemuda St, Bandung, Jawa Barat 94016"
152894,USB-C Charging Cable,2,20000,07/04/23 12:10,"Pemuda St, Jakarta, DKI Jakarta 02215"
152895,Bose SoundSport Headphones,4,1500000,07/22/23 12:42,"Pahlawan St, Cirebon, Jawa Barat 90001"
152896,Wired Headphones,3,150000,07/01/23 14:34,"Jend. Ahmad Yani St, Bekasi, Jawa Barat 30301"
152897,AAA Batteries (4-pack),8,32000,07/28/23 14:39,"Panglima Polin St, Bandung, Jawa Barat 94016"
152898,Bose SoundSport Headphones,3,1500000,07/01/23 17:56,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
152899,ThinkPad Laptop,4,15000000,07/07/23 11:02,"Pemuda St, Tangerang, Banten 10001"
152900,AAA Batteries (4-pack),7,32000,07/27/23 09:20,"Kebon Sirih St, Cirebon, Jawa Barat 90001"
152901,Lightning Charging Cable,7,30000,07/21/23 11:29,"Hayam Wuruk St, Bekasi, Jawa Barat 30301"
152902,Apple Airpods Headphones,10,2500000,07/09/23 11:20,"Hayam Wuruk St, Depok, Jawa Barat 73301"
152903,Apple Airpods Headphones,4,2500000,07/03/23 10:09,"Imam Bonjol St, Tangerang, Banten 10001"
152904,USB-C Charging Cable,9,20000,07/31/23 16:27,"Pahlawan St, Jakarta, DKI Jakarta 02215"
152905,AAA Batteries (4-pack),9,32000,07/14/23 13:23,"Pangeran Diponegoro St, Cirebon, Jawa Barat 90001"
152906,Wired Headphones,3,150000,07/08/23 17:06,"Pemuda St, Surabaya, Jawa Timur 97035"
152907,AA Batteries (4-pack),7,40000,07/24/23 08:22,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
152908,AA Batteries (4-pack),6,40000,07/08/23 22:38,"Asia Afrika St, Cirebon, Jawa Barat 90001"
152909,Xiaomi Phone,9,8000000,07/20/23 13:17,"Imam Bonjol St, Tangerang, Banten 10001"
152910,Lightning Charging Cable,6,30000,07/14/23 16:09,"Asia Afrika St, Tangerang, Banten 10001"
152911,Google Pixel,8,15000000,07/06/23 11:38,"Panglima Polin St, Bogor, Jawa Barat 75001"
152912,AAA Batteries (4-pack),5,32000,07/26/23 05:31,"H. Agus Salim St, Depok, Jawa Barat 73301"
152913,27in FHD Monitor,2,3000000,07/11/23 11:39,"Pangeran Diponegoro St, Cirebon, Jawa Barat 90001"
152914,Google Pixel,6,15000000,07/05/23 09:23,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
152915,Lightning Charging Cable,7,30000,07/22/23 19:22,"Pangeran Diponegoro St, Jakarta, DKI Jakarta 02215"
152916,Bose SoundSport Headphones,1,1500000,07/24/23 18:16,"Kebon Sirih St, Semarang, Jawa Tengah 98101"
152917,Lightning Charging Cable,2,30000,07/29/23 23:26,"Panglima Polin St, Bogor, Jawa Barat 75001"
152918,Lightning Charging Cable,1,30000,07/17/23 20:14,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
152919,27in FHD Monitor,6,3000000,07/27/23 20:10,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
152920,Wired Headphones,5,150000,07/28/23 15:57,"Pemuda St, Bogor, Jawa Barat 75001"
152921,34in Ultrawide Monitor,2,6000000,07/21/23 16:17,"M. H. Thamrin St, Surabaya, Jawa Timur 97035"
152922,34in Ultrawide Monitor,10,6000000,07/11/23 19:28,"Pahlawan St, Depok, Jawa Barat 73301"
152923,Apple Airpods Headphones,6,2500000,07/24/23 09:52,"Gajah Mada St, Cirebon, Jawa Barat 90001"
152924,Lightning Charging Cable,1,30000,07/17/23 21:23,"Imam Bonjol St, Jakarta, DKI Jakarta 02215"
152925,Lightning Charging Cable,6,30000,07/17/23 18:47,"Gatot Subroto St, Tangerang, Banten 10001"
152926,iPhone,5,18000000,07/22/23 23:31,"Dewi Sartika St, Depok, Jawa Barat 73301"
152927,Macbook Pro Laptop,6,26000000,07/20/23 21:07,"Jend. Sudirman St, Bekasi, Jawa Barat 30301"
152928,20in Monitor,7,2000000,07/26/23 14:19,"Raden Ajeng Kartini St, Tangerang, Banten 10001"
152929,AA Batteries (4-pack),10,40000,07/19/23 14:41,"Gatot Subroto St, Bandung, Jawa Barat 94016"
