Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
150906,Lightning Charging Cable,2,30000,06/07/23 08:56,"Pahlawan St, Bandung, Jawa Barat 94016"
150907,Macbook Pro Laptop,8,26000000,06/25/23 05:38,"Soekarno Hatta St, Bogor, Jawa Barat 75001"
150908,Xiaomi Phone,6,8000000,06/07/23 16:05,"Asia Tenggara St, Bandung, Jawa Barat 94016"
150909,iPhone,5,18000000,06/20/23 13:21,"Gatot Subroto St, Bandung, Jawa Barat 94016"
150910,Apple Airpods Headphones,4,2500000,06/18/23 17:11,"Dewi Sartika St, Tangerang, Banten 10001"
150911,27in FHD Monitor,5,3000000,06/13/23 14:48,"M. H. Thamrin St, Surabaya, Jawa Timur 97035"
150912,Bose SoundSport Headphones,5,1500000,06/04/23 22:29,"Jend. Ahmad Yani St, Bogor, Jawa Barat 75001"
150913,Apple Airpods Headphones,10,2500000,06/23/23 08:19,"M. H. Thamrin St, Bekasi, Jawa Barat 30301"
150914,27in 4K Gaming Monitor,8,6400000,06/21/23 21:11,"Asia Afrika St, Cirebon, Jawa Barat 90001"
150915,Flatscreen TV,10,4000000,06/16/23 11:47,"Ir. H. Juanda St, Surabaya, Jawa Timur 97035"
150916,Wired Headphones,5,150000,06/21/23 12:58,"Gajah Mada St, Bogor, Jawa Barat 75001"
150917,USB-C Charging Cable,10,20000,06/24/23 20:11,"Veteran St, Bekasi, Jawa Barat 30301"
150918,AA Batteries (4-pack),3,40000,06/06/23 19:15,"Jend. Ahmad Yani St, Surabaya, Jawa Timur 97035"
150919,27in 4K Gaming Monitor,4,6400000,06/13/23 21:37,"Dewi Sartika St, Cirebon, Jawa Barat 90001"
150920,USB-C Charging Cable,2,20000,06/03/23 15:55,"Jend. Ahmad Yani St, Bekasi, Jawa Barat 30301"
150921,Lightning Charging Cable,4,30000,06/18/23 19:15,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
150922,AAA Batteries (4-pack),3,32000,06/22/23 16:04,"Gatot Subroto St, Jakarta, DKI Jakarta 02215"
150923,Bose SoundSport Headphones,2,1500000,06/13/23 23:09,"Veteran St, Bandung, Jawa Barat 94016"
150924,USB-C Charging Cable,6,20000,06/21/23 21:02,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
150925,Apple Airpods Headphones,6,2500000,06/13/23 09:12,"Hayam Wuruk St, Surabaya, Jawa Timur 97035"
150926,Apple Airpods Headphones,5,2500000,06/12/23 20:58,"Gajah Mada St, Cirebon, Jawa Barat 90001"
150927,USB-C Charging Cable,5,20000,06/14/23 21:02,"Jend. Ahmad Yani St, Jakarta, DKI Jakarta 02215"
150928,USB-C Charging Cable,8,20000,06/30/23 15:19,"Gatot Subroto St, Depok, Jawa Barat 73301"
150929,AAA Batteries (4-pack),3,32000,06/02/23 15:07,"H. Agus Salim St, Surabaya, Jawa Timur 97035"
150930,Bose SoundSport Headphones,2,1500000,06/25/23 18:18,"Pangeran Diponegoro St, Yogyakarta, DIY Yogyakarta 04101"
150931,Lightning Charging Cable,7,30000,06/28/23 09:53,"Pangeran Diponegoro St, Cirebon, Jawa Barat 90001"
150932,Google Pixel,1,15000000,06/28/23 17:05,"Pahlawan St, Bandung, Jawa Barat 94016"
150933,AAA Batteries (4-pack),6,32000,06/21/23 12:56,"Pemuda St, Cirebon, Jawa Barat 90001"
150934,Apple Airpods Headphones,3,2500000,06/19/23 18:20,"Gajah Mada St, Depok, Jawa Barat 73301"
150935,AAA Batteries (4-pack),1,32000,06/29/23 12:06,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
150936,AA Batteries (4-pack),10,40000,06/10/23 12:06,"Asia Tenggara St, Tangerang, Banten 10001"
150937,Macbook Pro Laptop,3,26000000,06/30/23 13:21,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
150938,AAA Batteries (4-pack),3,32000,06/06/23 01:42,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
150939,AAA Batteries (4-pack),10,32000,06/24/23 20:05,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
150940,Lightning Charging Cable,1,30000,06/05/23 11:17,"Panglima Polin St, Tangerang, Banten 10001"
150941,Macbook Pro Laptop,5,26000000,06/03/23 22:46,"Pahlawan St, Jakarta, DKI Jakarta 02215"
150942,Wired Headphones,8,150000,06/17/23 19:10,"Hayam Wuruk St, Bogor, Jawa Barat 75001"
150943,Wired Headphones,8,150000,06/27/23 19:15,"Jend. Ahmad Yani St, Surabaya, Jawa Timur 97035"
150944,AAA Batteries (4-pack),6,32000,06/29/23 07:37,"M. H. Thamrin St, Depok, Jawa Barat 73301"
150945,USB-C Charging Cable,6,20000,06/27/23 17:37,"H. Agus Salim St, Bandung, Jawa Barat 94016"
150946,ThinkPad Laptop,8,15000000,06/12/23 18:54,"Veteran St, Bandung, Jawa Barat 94016"
150947,Macbook Pro Laptop,2,26000000,06/10/23 08:15,"Asia Afrika St, Bekasi, Jawa Barat 30301"
150947,AAA Batteries (4-pack),8,32000,06/10/23 08:15,"Asia Afrika St, Bekasi, Jawa Barat 30301"
150948,AAA Batteries (4-pack),9,32000,06/16/23 20:18,"Pangeran Diponegoro St, Tangerang, Banten 10001"
150949,Google Pixel,10,15000000,06/21/23 07:32,"Gatot Subroto St, Cirebon, Jawa Barat 90001"
150950,AA Batteries (4-pack),6,40000,06/24/23 15:37,"Asia Tenggara St, Bogor, Jawa Barat 75001"
150951,AA Batteries (4-pack),1,40000,06/15/23 22:14,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
150952,Lightning Charging Cable,9,30000,06/07/23 00:35,"Pangeran Diponegoro St, Surabaya, Jawa Timur 97035"
150953,USB-C Charging Cable,4,20000,06/11/23 17:53,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
150954,Macbook Pro Laptop,8,26000000,06/11/23 12:56,"Kebon Sirih St, Jakarta, DKI Jakarta 02215"
150955,34in Ultrawide Monitor,7,6000000,06/21/23 21:46,"Pangeran Diponegoro St, Tangerang, Banten 10001"
150956,AA Batteries (4-pack),2,40000,06/16/23 18:34,"Pemuda St, Bekasi, Jawa Barat 30301"
150957,Lightning Charging Cable,10,30000,06/17/23 16:32,"Ir. H. Juanda St, Depok, Jawa Barat 73301"
150958,27in FHD Monitor,3,3000000,06/06/23 17:24,"Merdeka St, Bekasi, Jawa Barat 30301"
150959,Wired Headphones,4,150000,06/24/23 09:51,"Jend. Ahmad Yani St, Tangerang, Banten 10001"
150960,USB-C Charging Cable,7,20000,06/04/23 22:58,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
150961,USB-C Charging Cable,9,20000,06/03/23 10:02,"Merdeka St, Depok, Jawa Barat 73301"
150962,Wired Headphones,3,150000,06/11/23 10:02,"Ir. H. Juanda St, Tangerang, Banten 10001"
150963,Wired Headphones,3,150000,06/21/23 15:11,"Gajah Mada St, Jakarta, DKI Jakarta 02215"
150964,AA Batteries (4-pack),7,40000,06/28/23 13:47,"Merdeka St, Depok, Jawa Barat 73301"
150965,27in FHD Monitor,9,3000000,06/23/23 19:40,"Merdeka St, Bekasi, Jawa Barat 30301"
150966,LG Washing Machine,4,9000000,06/07/23 17:13,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
150967,Apple Airpods Headphones,7,2500000,06/13/23 15:37,"Asia Tenggara St, Tangerang, Banten 10001"
150968,Lightning Charging Cable,9,30000,06/30/23 13:19,"Dewi Sartika St, Tangerang, Banten 10001"
150969,34in Ultrawide Monitor,10,6000000,06/04/23 22:32,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
150970,Bose SoundSport Headphones,6,1500000,06/17/23 17:05,"Panglima Polin St, Semarang, Jawa Tengah 98101"
150971,Apple Airpods Headphones,8,2500000,06/17/23 00:17,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
150972,Lightning Charging Cable,9,30000,06/09/23 14:54,"H. Agus Salim St, Tangerang, Banten 10001"
150973,27in 4K Gaming Monitor,4,6400000,06/25/23 20:24,"Pangeran Diponegoro St, Bekasi, Jawa Barat 30301"
150974,34in Ultrawide Monitor,8,6000000,06/23/23 18:07,"Gatot Subroto St, Surabaya, Jawa Timur 97035"
Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
150975,Lightning Charging Cable,7,30000,06/29/23 11:10,"Gatot Subroto St, Jakarta, DKI Jakarta 02215"
150976,AA Batteries (4-pack),3,40000,06/30/23 11:27,"Gatot Subroto St, Bandung, Jawa Barat 94016"
150977,34in Ultrawide Monitor,6,6000000,06/16/23 14:23,"Asia Afrika St, Tangerang, Banten 10001"
150978,AAA Batteries (4-pack),10,32000,06/09/23 01:56,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
150979,USB-C Charging Cable,1,20000,06/06/23 20:55,"Panglima Polin St, Jakarta, DKI Jakarta 02215"
150980,34in Ultrawide Monitor,6,6000000,06/23/23 11:18,"Jend. Sudirman St, Depok, Jawa Barat 73301"
150981,Apple Airpods Headphones,6,2500000,06/23/23 21:03,"Hayam Wuruk St, Surabaya, Jawa Timur 97035"
150982,Bose SoundSport Headphones,8,1500000,06/01/23 17:41,"Panglima Polin St, Semarang, Jawa Tengah 98101"
150983,27in 4K Gaming Monitor,8,6400000,06/25/23 10:28,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
150984,Bose SoundSport Headphones,5,1500000,06/14/23 10:29,"Veteran St, Tangerang, Banten 10001"
150985,Bose SoundSport Headphones,10,1500000,06/19/23 21:46,"Asia Tenggara St, Bandung, Jawa Barat 94016"
150986,AAA Batteries (4-pack),7,32000,06/07/23 17:29,"M. H. Thamrin St, Depok, Jawa Barat 73301"
150987,27in 4K Gaming Monitor,8,6400000,06/19/23 13:53,"Merdeka St, Bekasi, Jawa Barat 30301"
150988,Apple Airpods Headphones,6,2500000,06/22/23 16:41,"Gatot Subroto St, Cirebon, Jawa Barat 90001"
150989,Bose SoundSport Headphones,6,1500000,06/12/23 13:35,"Ir. H. Juanda St, Jakarta, DKI Jakarta 02215"
150990,Apple Airpods Headphones,7,2500000,06/25/23 18:41,"Imam Bonjol St, Bandung, Jawa Barat 94016"
150991,AA Batteries (4-pack),8,40000,06/15/23 21:09,"Merdeka St, Cirebon, Jawa Barat 90001"
150992,Bose SoundSport Headphones,3,1500000,06/14/23 17:59,"Soekarno Hatta St, Bekasi, Jawa Barat 30301"
