Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
160565,AA Batteries (4-pack),8,40000,11/27/23 18:48,"Merdeka St, Cirebon, Jawa Barat 90001"
160566,Wired Headphones,4,150000,11/30/23 12:59,"Merdeka St, Bandung, Jawa Barat 94016"
160567,USB-C Charging Cable,8,20000,11/06/23 15:53,"Raden Ajeng Kartini St, Depok, Jawa Barat 73301"
160568,Wired Headphones,9,150000,11/16/23 14:40,"Ir. H. Juanda St, Tangerang, Banten 10001"
160569,AA Batteries (4-pack),8,40000,11/13/23 12:52,"Asia Tenggara St, Tangerang, Banten 10001"
160570,Lightning Charging Cable,1,30000,11/09/23 11:13,"Asia Tenggara St, Bandung, Jawa Barat 94016"
160571,AA Batteries (4-pack),1,40000,11/04/23 21:42,"Hayam Wuruk St, Bogor, Jawa Barat 75001"
160572,27in FHD Monitor,4,3000000,11/03/23 23:41,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
160573,Lightning Charging Cable,8,30000,11/12/23 15:32,"Ir. H. Juanda St, Surabaya, Jawa Timur 97035"
160573,27in 4K Gaming Monitor,2,6400000,11/12/23 15:32,"Ir. H. Juanda St, Surabaya, Jawa Timur 97035"
160574,Lightning Charging Cable,7,30000,11/10/23 23:53,"Pemuda St, Bandung, Jawa Barat 94016"
160575,USB-C Charging Cable,1,20000,11/08/23 21:46,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
160576,Google Pixel,9,15000000,11/10/23 21:03,"Ir. H. Juanda St, Semarang, Jawa Tengah 98101"
160577,Flatscreen TV,9,4000000,11/28/23 20:37,"Pahlawan St, Cirebon, Jawa Barat 90001"
160578,Google Pixel,10,15000000,11/05/23 14:41,"Jend. Sudirman St, Cirebon, Jawa Barat 90001"
160579,AA Batteries (4-pack),3,40000,11/19/23 19:40,"Hayam Wuruk St, Bandung, Jawa Barat 94016"
160580,USB-C Charging Cable,3,20000,11/07/23 11:06,"Gajah Mada St, Cirebon, Jawa Barat 90001"
160581,USB-C Charging Cable,3,20000,11/02/23 09:42,"Imam Bonjol St, Bandung, Jawa Barat 94016"
160582,ThinkPad Laptop,6,15000000,11/08/23 19:26,"Dewi Sartika St, Depok, Jawa Barat 73301"
160583,AA Batteries (4-pack),3,40000,11/10/23 18:39,"M. H. Thamrin St, Semarang, Jawa Tengah 98101"
160584,Lightning Charging Cable,8,30000,11/11/23 14:09,"M. H. Thamrin St, Jakarta, DKI Jakarta 02215"
160585,USB-C Charging Cable,5,20000,11/12/23 20:31,"Veteran St, Jakarta, DKI Jakarta 02215"
160586,USB-C Charging Cable,4,20000,11/06/23 21:12,"Gatot Subroto St, Depok, Jawa Barat 73301"
160587,Lightning Charging Cable,9,30000,11/15/23 13:21,"Gatot Subroto St, Bandung, Jawa Barat 94016"
160588,Wired Headphones,1,150000,11/16/23 15:21,"Kebon Sirih St, Semarang, Jawa Tengah 98101"
160589,34in Ultrawide Monitor,3,6000000,11/04/23 09:47,"Hayam Wuruk St, Bandung, Jawa Barat 94016"
160590,AAA Batteries (4-pack),2,32000,11/16/23 22:58,"H. Agus Salim St, Semarang, Jawa Tengah 98101"
160591,USB-C Charging Cable,8,20000,11/18/23 03:37,"Soekarno Hatta St, Bekasi, Jawa Barat 30301"
160592,USB-C Charging Cable,8,20000,11/19/23 07:46,"Gajah Mada St, Tangerang, Banten 10001"
160593,Lightning Charging Cable,7,30000,11/02/23 10:51,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
160594,Lightning Charging Cable,1,30000,11/17/23 12:52,"Pangeran Diponegoro St, Bandung, Jawa Barat 94016"
160595,AA Batteries (4-pack),2,40000,11/20/23 09:51,"Merdeka St, Tangerang, Banten 10001"
160596,Bose SoundSport Headphones,2,1500000,11/20/23 12:24,"Asia Tenggara St, Jakarta, DKI Jakarta 02215"
160597,Wired Headphones,1,150000,11/23/23 10:28,"Merdeka St, Tangerang, Banten 10001"
160598,Xiaomi Phone,5,8000000,11/22/23 19:30,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
160599,Apple Airpods Headphones,10,2500000,11/08/23 19:10,"Soekarno Hatta St, Surabaya, Jawa Timur 97035"
160600,Wired Headphones,1,150000,11/17/23 09:26,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
160601,27in 4K Gaming Monitor,2,6400000,11/20/23 16:36,"Asia Tenggara St, Tangerang, Banten 10001"
160602,AA Batteries (4-pack),3,40000,11/22/23 20:34,"Pahlawan St, Surabaya, Jawa Timur 97035"
160603,AA Batteries (4-pack),8,40000,11/03/23 12:58,"Hayam Wuruk St, Bekasi, Jawa Barat 30301"
160604,Bose SoundSport Headphones,2,1500000,11/13/23 23:46,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
160605,Lightning Charging Cable,10,30000,11/10/23 22:27,"Panglima Polin St, Bandung, Jawa Barat 94016"
160606,Flatscreen TV,10,4000000,11/08/23 20:05,"Merdeka St, Bandung, Jawa Barat 94016"
160606,AA Batteries (4-pack),3,40000,11/08/23 20:05,"Merdeka St, Bandung, Jawa Barat 94016"
160607,Bose SoundSport Headphones,5,1500000,11/24/23 12:39,"Jend. Ahmad Yani St, Tangerang, Banten 10001"
160608,Lightning Charging Cable,9,30000,11/28/23 20:45,"Imam Bonjol St, Semarang, Jawa Tengah 98101"
160609,Xiaomi Phone,1,8000000,11/24/23 16:01,"Raden Ajeng Kartini St, Cirebon, Jawa Barat 90001"
160610,Wired Headphones,7,150000,11/02/23 05:45,"Pangeran Diponegoro St, Cirebon, Jawa Barat 90001"
160611,AAA Batteries (4-pack),9,32000,11/07/23 16:02,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
160612,Wired Headphones,9,150000,11/18/23 03:28,"Veteran St, Depok, Jawa Barat 73301"
160613,Flatscreen TV,10,4000000,11/17/23 18:50,"Hayam Wuruk St, Bogor, Jawa Barat 75001"
160614,Wired Headphones,9,150000,11/03/23 16:44,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
160615,AA Batteries (4-pack),9,40000,11/25/23 18:20,"H. Agus Salim St, Jakarta, DKI Jakarta 02215"
160616,USB-C Charging Cable,6,20000,11/15/23 10:45,"Veteran St, Jakarta, DKI Jakarta 02215"
160617,Lightning Charging Cable,10,30000,11/09/23 01:15,"Ir. H. Juanda St, Surabaya, Jawa Timur 97035"
160618,Bose SoundSport Headphones,1,1500000,11/12/23 10:31,"Merdeka St, Bandung, Jawa Barat 94016"
160619,Lightning Charging Cable,7,30000,11/03/23 15:39,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
160620,AA Batteries (4-pack),5,40000,11/21/23 10:59,"Kebon Sirih St, Bekasi, Jawa Barat 30301"
160621,Lightning Charging Cable,8,30000,11/03/23 17:51,"Pemuda St, Bandung, Jawa Barat 94016"
160622,Lightning Charging Cable,3,30000,11/22/23 18:09,"Jend. Sudirman St, Semarang, Jawa Tengah 98101"
160623,Wired Headphones,4,150000,11/02/23 21:54,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
160624,27in FHD Monitor,6,3000000,11/25/23 00:14,"Asia Afrika St, Cirebon, Jawa Barat 90001"
160625,Apple Airpods Headphones,1,2500000,11/10/23 21:50,"Asia Tenggara St, Cirebon, Jawa Barat 90001"
160626,Google Pixel,10,15000000,11/05/23 10:13,"Gatot Subroto St, Depok, Jawa Barat 73301"
160627,20in Monitor,9,2000000,11/27/23 18:58,"Merdeka St, Bekasi, Jawa Barat 30301"
160628,Apple Airpods Headphones,9,2500000,11/10/23 02:24,"Veteran St, Bandung, Jawa Barat 94016"
160629,Lightning Charging Cable,10,30000,11/04/23 12:26,"Gatot Subroto St, Bekasi, Jawa Barat 30301"
160630,USB-C Charging Cable,5,20000,11/28/23 11:54,"Gajah Mada St, Bogor, Jawa Barat 75001"
160631,Apple Airpods Headphones,2,2500000,11/28/23 22:07,"H. Agus Salim St, Bekasi, Jawa Barat 30301"
160632,20in Monitor,10,2000000,11/05/23 17:59,"Pahlawan St, Jakarta, DKI Jakarta 02215"
160633,Bose SoundSport Headphones,2,1500000,11/14/23 23:04,"Jend. Sudirman St, Cirebon, Jawa Barat 90001"
