Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
156702,AAA Batteries (4-pack),6,32000,09/06/23 12:10,"Gajah Mada St, Bandung, Jawa Barat 94016"
156703,AA Batteries (4-pack),2,40000,09/17/23 13:48,"Raden Ajeng Kartini St, Depok, Jawa Barat 73301"
156704,AAA Batteries (4-pack),4,32000,09/19/23 10:12,"Ir. H. Juanda St, Bandung, Jawa Barat 94016"
156705,20in Monitor,3,2000000,09/10/23 15:35,"Panglima Polin St, Bogor, Jawa Barat 75001"
156706,Apple Airpods Headphones,8,2500000,09/26/23 17:24,"Jend. Sudirman St, Tangerang, Banten 10001"
156707,Wired Headphones,6,150000,09/29/23 19:41,"Imam Bonjol St, Bandung, Jawa Barat 94016"
156708,USB-C Charging Cable,8,20000,09/11/23 20:01,"Pemuda St, Semarang, Jawa Tengah 98101"
156709,AA Batteries (4-pack),10,40000,09/08/23 22:33,"Raden Ajeng Kartini St, Bogor, Jawa Barat 75001"
156710,AAA Batteries (4-pack),1,32000,09/30/23 07:04,"Raden Ajeng Kartini St, Jakarta, DKI Jakarta 02215"
156711,Lightning Charging Cable,8,30000,09/10/23 23:55,"H. Agus Salim St, Cirebon, Jawa Barat 90001"
156712,iPhone,10,18000000,09/15/23 20:09,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
156713,Wired Headphones,9,150000,09/02/23 21:24,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
156714,27in FHD Monitor,5,3000000,09/27/23 11:15,"Asia Afrika St, Cirebon, Jawa Barat 90001"
156715,USB-C Charging Cable,8,20000,09/26/23 16:12,"M. H. Thamrin St, Tangerang, Banten 10001"
156716,Apple Airpods Headphones,1,2500000,09/11/23 02:09,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
156717,USB-C Charging Cable,7,20000,09/07/23 09:43,"Soekarno Hatta St, Semarang, Jawa Tengah 98101"
156718,AA Batteries (4-pack),9,40000,09/08/23 11:33,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
156719,AAA Batteries (4-pack),2,32000,09/13/23 13:34,"Hayam Wuruk St, Bandung, Jawa Barat 94016"
156720,Lightning Charging Cable,7,30000,09/20/23 14:20,"Jend. Sudirman St, Surabaya, Jawa Timur 97035"
156721,Google Pixel,5,15000000,09/07/23 21:45,"Asia Afrika St, Surabaya, Jawa Timur 97035"
156722,Google Pixel,9,15000000,09/25/23 17:44,"Pangeran Diponegoro St, Bogor, Jawa Barat 75001"
156723,Google Pixel,5,15000000,09/26/23 23:16,"Kebon Sirih St, Cirebon, Jawa Barat 90001"
