Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
147026,20in Monitor,6,2000000,04/09/23 11:54,"Asia Afrika St, Cirebon, Jawa Barat 90001"
147027,34in Ultrawide Monitor,1,6000000,04/22/23 11:26,"Gatot Subroto St, Bandung, Jawa Barat 94016"
147028,Lightning Charging Cable,8,30000,04/26/23 10:31,"Asia Tenggara St, Depok, Jawa Barat 73301"
147029,USB-C Charging Cable,8,20000,04/28/23 20:20,"H. Agus Salim St, Tangerang, Banten 10001"
147030,Apple Airpods Headphones,6,2500000,04/25/23 20:57,"Pahlawan St, Cirebon, Jawa Barat 90001"
147031,Bose SoundSport Headphones,7,1500000,04/30/23 16:52,"Merdeka St, Semarang, Jawa Tengah 98101"
147032,iPhone,8,18000000,04/03/23 08:41,"Pahlawan St, Yogyakarta, DIY Yogyakarta 04101"
147033,Lightning Charging Cable,2,30000,04/13/23 10:33,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
147034,Apple Airpods Headphones,7,2500000,04/11/23 09:59,"Raden Ajeng Kartini St, Jakarta, DKI Jakarta 02215"
147035,AA Batteries (4-pack),4,40000,04/26/23 10:29,"Pangeran Diponegoro St, Jakarta, DKI Jakarta 02215"
147036,AA Batteries (4-pack),8,40000,04/19/23 16:59,"Pangeran Diponegoro St, Surabaya, Jawa Timur 97035"
147037,Wired Headphones,6,150000,04/06/23 11:58,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
147038,Lightning Charging Cable,10,30000,04/27/23 12:45,"Ir. H. Juanda St, Jakarta, DKI Jakarta 02215"
147039,Google Pixel,9,15000000,04/11/23 15:51,"Pangeran Diponegoro St, Depok, Jawa Barat 73301"
147040,Wired Headphones,2,150000,04/08/23 11:36,"M. H. Thamrin St, Jakarta, DKI Jakarta 02215"
147041,Flatscreen TV,2,4000000,04/11/23 10:15,"Kebon Sirih St, Yogyakarta, DIY Yogyakarta 04101"
147042,USB-C Charging Cable,4,20000,04/04/23 09:11,"Pangeran Diponegoro St, Bekasi, Jawa Barat 30301"
147043,USB-C Charging Cable,3,20000,04/13/23 00:08,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
147044,AA Batteries (4-pack),3,40000,04/16/23 09:41,"Imam Bonjol St, Bandung, Jawa Barat 94016"
147045,Google Pixel,9,15000000,04/23/23 12:10,"Jend. Ahmad Yani St, Surabaya, Jawa Timur 97035"
147046,27in 4K Gaming Monitor,7,6400000,04/11/23 16:56,"Panglima Polin St, Bogor, Jawa Barat 75001"
,,,,,
147047,Wired Headphones,8,150000,04/03/23 21:42,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
147048,Macbook Pro Laptop,10,26000000,04/26/23 12:03,"Pahlawan St, Bekasi, Jawa Barat 30301"
147049,USB-C Charging Cable,1,20000,04/26/23 09:39,"Gajah Mada St, Depok, Jawa Barat 73301"
147050,AAA Batteries (4-pack),4,32000,04/20/23 18:19,"Pahlawan St, Tangerang, Banten 10001"
147050,AAA Batteries (4-pack),6,32000,04/20/23 18:19,"Pahlawan St, Tangerang, Banten 10001"
147051,Wired Headphones,8,150000,04/25/23 12:04,"Panglima Polin St, Depok, Jawa Barat 73301"
147052,Bose SoundSport Headphones,7,1500000,04/16/23 18:19,"Gajah Mada St, Bekasi, Jawa Barat 30301"
147053,AA Batteries (4-pack),9,40000,04/16/23 15:18,"Kebon Sirih St, Tangerang, Banten 10001"
147054,27in FHD Monitor,8,3000000,04/27/23 19:53,"Asia Tenggara St, Bogor, Jawa Barat 75001"
147055,Wired Headphones,5,150000,04/04/23 12:57,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
147056,USB-C Charging Cable,4,20000,04/30/23 20:28,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
147057,USB-C Charging Cable,1,20000,04/26/23 14:13,"Asia Afrika St, Bandung, Jawa Barat 94016"
147058,Xiaomi Phone,2,8000000,04/22/23 11:54,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
147059,27in 4K Gaming Monitor,2,6400000,04/20/23 00:54,"Dewi Sartika St, Tangerang, Banten 10001"
147060,AA Batteries (4-pack),1,40000,04/24/23 13:31,"Asia Tenggara St, Bandung, Jawa Barat 94016"
147061,USB-C Charging Cable,2,20000,04/07/23 13:43,"Raden Ajeng Kartini St, Yogyakarta, DIY Yogyakarta 04101"
147062,Flatscreen TV,6,4000000,04/02/23 21:58,"Gajah Mada St, Semarang, Jawa Tengah 98101"
147063,Lightning Charging Cable,1,30000,04/29/23 21:09,"Imam Bonjol St, Bandung, Jawa Barat 94016"
147064,USB-C Charging Cable,8,20000,04/26/23 23:39,"H. Agus Salim St, Cirebon, Jawa Barat 90001"
147065,AA Batteries (4-pack),8,40000,04/03/23 20:59,"Jend. Ahmad Yani St, Cirebon, Jawa Barat 90001"
147066,Wired Headphones,9,150000,04/23/23 17:55,"Kebon Sirih St, Bandung, Jawa Barat 94016"
147067,iPhone,4,18000000,04/18/23 07:37,"Veteran St, Bandung, Jawa Barat 94016"
147067,Lightning Charging Cable,6,30000,04/18/23 07:37,"Veteran St, Bandung, Jawa Barat 94016"
147068,AAA Batteries (4-pack),5,32000,04/02/23 17:06,"Jend. Sudirman St, Tangerang, Banten 10001"
147069,USB-C Charging Cable,1,20000,04/07/23 11:22,"Pahlawan St, Bandung, Jawa Barat 94016"
147070,Wired Headphones,5,150000,04/24/23 16:52,"Jend. Ahmad Yani St, Tangerang, Banten 10001"
147071,Lightning Charging Cable,5,30000,04/15/23 15:02,"Asia Afrika St, Cirebon, Jawa Barat 90001"
147072,Lightning Charging Cable,6,30000,04/27/23 19:54,"Asia Afrika St, Bandung, Jawa Barat 94016"
147072,AAA Batteries (4-pack),10,32000,04/27/23 19:54,"Asia Afrika St, Bandung, Jawa Barat 94016"
147073,27in FHD Monitor,2,3000000,04/12/23 06:29,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
147074,USB-C Charging Cable,4,20000,04/06/23 20:59,"Raden Ajeng Kartini St, Tangerang, Banten 10001"
147075,27in FHD Monitor,10,3000000,04/22/23 09:59,"Merdeka St, Jakarta, DKI Jakarta 02215"
147076,USB-C Charging Cable,5,20000,04/02/23 18:46,"Asia Tenggara St, Tangerang, Banten 10001"
147077,Apple Airpods Headphones,4,2500000,04/05/23 21:46,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
147078,AA Batteries (4-pack),7,40000,04/21/23 10:28,"Ir. H. Juanda St, Depok, Jawa Barat 73301"
147079,Lightning Charging Cable,10,30000,04/27/23 18:38,"Kebon Sirih St, Semarang, Jawa Tengah 98101"
147080,Xiaomi Phone,9,8000000,04/06/23 17:43,"Asia Afrika St, Surabaya, Jawa Timur 97035"
147081,34in Ultrawide Monitor,10,6000000,04/24/23 19:58,"Veteran St, Cirebon, Jawa Barat 90001"
147082,AAA Batteries (4-pack),2,32000,04/09/23 00:20,"Gajah Mada St, Tangerang, Banten 10001"
147083,Bose SoundSport Headphones,5,1500000,04/30/23 13:57,"Raden Ajeng Kartini St, Bogor, Jawa Barat 75001"
147084,Lightning Charging Cable,1,30000,04/23/23 13:50,"Panglima Polin St, Yogyakarta, DIY Yogyakarta 04101"
147085,AA Batteries (4-pack),8,40000,04/16/23 11:53,"Asia Tenggara St, Surabaya, Jawa Timur 97035"
147086,USB-C Charging Cable,9,20000,04/01/23 20:41,"M. H. Thamrin St, Tangerang, Banten 10001"
147087,34in Ultrawide Monitor,8,6000000,04/08/23 19:21,"Pangeran Diponegoro St, Jakarta, DKI Jakarta 02215"
147088,34in Ultrawide Monitor,9,6000000,04/07/23 18:08,"Panglima Polin St, Cirebon, Jawa Barat 90001"
147089,Wired Headphones,8,150000,04/09/23 18:01,"Imam Bonjol St, Surabaya, Jawa Timur 97035"
147090,Bose SoundSport Headphones,1,1500000,04/18/23 19:02,"Hayam Wuruk St, Tangerang, Banten 10001"
147091,Bose SoundSport Headphones,6,1500000,04/26/23 19:59,"Ir. H. Juanda St, Jakarta, DKI Jakarta 02215"
147092,AAA Batteries (4-pack),3,32000,04/18/23 21:29,"Gatot Subroto St, Cirebon, Jawa Barat 90001"
147093,AAA Batteries (4-pack),4,32000,04/01/23 18:54,"Pahlawan St, Semarang, Jawa Tengah 98101"
147094,27in 4K Gaming Monitor,6,6400000,04/29/23 12:04,"Soekarno Hatta St, Bandung, Jawa Barat 94016"
147095,AA Batteries (4-pack),7,40000,04/30/23 21:33,"Pangeran Diponegoro St, Depok, Jawa Barat 73301"
147096,AA Batteries (4-pack),5,40000,04/23/23 12:57,"Jend. Ahmad Yani St, Bandung, Jawa Barat 94016"
147097,Wired Headphones,8,150000,04/08/23 20:58,"Soekarno Hatta St, Jakarta, DKI Jakarta 02215"
147098,USB-C Charging Cable,9,20000,04/29/23 19:20,"Gajah Mada St, Cirebon, Jawa Barat 90001"
147099,AA Batteries (4-pack),10,40000,04/26/23 21:58,"H. Agus Salim St, Jakarta, DKI Jakarta 02215"
147100,USB-C Charging Cable,2,20000,04/05/23 18:34,"Pangeran Diponegoro St, Semarang, Jawa Tengah 98101"
147101,20in Monitor,1,2000000,04/05/23 21:42,"Asia Tenggara St, Bogor, Jawa Barat 75001"
147101,Lightning Charging Cable,7,30000,04/05/23 21:42,"Asia Tenggara St, Bogor, Jawa Barat 75001"
147102,Bose SoundSport Headphones,5,1500000,04/09/23 11:33,"Jend. Ahmad Yani St, Bogor, Jawa Barat 75001"
147103,Bose SoundSport Headphones,5,1500000,04/04/23 20:09,"M. H. Thamrin St, Cirebon, Jawa Barat 90001"
147104,27in FHD Monitor,7,3000000,04/30/23 09:51,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
147105,Lightning Charging Cable,7,30000,04/06/23 07:39,"Gatot Subroto St, Bandung, Jawa Barat 94016"
147106,AAA Batteries (4-pack),5,32000,04/30/23 07:26,"M. H. Thamrin St, Bogor, Jawa Barat 75001"
147107,AAA Batteries (4-pack),6,32000,04/15/23 21:30,"Jend. Sudirman St, Semarang, Jawa Tengah 98101"
147108,Google Pixel,1,15000000,04/04/23 11:44,"Pahlawan St, Semarang, Jawa Tengah 98101"
147109,AA Batteries (4-pack),8,40000,04/09/23 19:37,"Veteran St, Cirebon, Jawa Barat 90001"
147110,27in FHD Monitor,7,3000000,04/01/23 19:04,"Pahlawan St, Jakarta, DKI Jakarta 02215"
147111,AA Batteries (4-pack),4,40000,04/18/23 07:43,"Raden Ajeng Kartini St, Bandung, Jawa Barat 94016"
147112,AAA Batteries (4-pack),6,32000,04/16/23 18:53,"Ir. H. Juanda St, Cirebon, Jawa Barat 90001"
147113,USB-C Charging Cable,2,20000,04/05/23 16:30,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
147114,AAA Batteries (4-pack),10,32000,04/23/23 22:08,"Imam Bonjol St, Bogor, Jawa Barat 75001"
147115,Lightning Charging Cable,3,30000,04/07/23 18:22,"Dewi Sartika St, Surabaya, Jawa Timur 97035"
147116,27in 4K Gaming Monitor,8,6400000,04/16/23 11:31,"Pemuda St, Bandung, Jawa Barat 94016"
147117,AAA Batteries (4-pack),1,32000,04/23/23 11:02,"Gajah Mada St, Bekasi, Jawa Barat 30301"
147118,AAA Batteries (4-pack),2,32000,04/10/23 23:55,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
147119,Google Pixel,5,15000000,04/14/23 17:23,"H. Agus Salim St, Cirebon, Jawa Barat 90001"
147120,USB-C Charging Cable,7,20000,04/03/23 18:32,"Asia Afrika St, Bandung, Jawa Barat 94016"
147121,27in 4K Gaming Monitor,9,6400000,04/13/23 14:33,"Kebon Sirih St, Bandung, Jawa Barat 94016"
147122,USB-C Charging Cable,2,20000,04/10/23 15:15,"M. H. Thamrin St, Bekasi, Jawa Barat 30301"
147123,USB-C Charging Cable,8,20000,04/23/23 16:01,"Pangeran Diponegoro St, Bogor, Jawa Barat 75001"
147124,USB-C Charging Cable,2,20000,04/14/23 19:26,"Panglima Polin St, Cirebon, Jawa Barat 90001"
147125,34in Ultrawide Monitor,9,6000000,04/21/23 22:27,"Dewi Sartika St, Tangerang, Banten 10001"
147126,Apple Airpods Headphones,7,2500000,04/20/23 14:09,"Panglima Polin St, Bandung, Jawa Barat 94016"
147127,ThinkPad Laptop,5,15000000,04/01/23 19:08,"Kebon Sirih St, Jakarta, DKI Jakarta 02215"
147128,Lightning Charging Cable,5,30000,04/06/23 07:37,"Dewi Sartika St, Bandung, Jawa Barat 94016"
147129,Flatscreen TV,10,4000000,04/17/23 20:51,"Raden Ajeng Kartini St, Yogyakarta, DIY Yogyakarta 04101"
147130,AAA Batteries (4-pack),6,32000,04/08/23 11:14,"Asia Afrika St, Cirebon, Jawa Barat 90001"
147131,Apple Airpods Headphones,5,2500000,04/06/23 08:47,"Pangeran Diponegoro St, Tangerang, Banten 10001"
147132,Lightning Charging Cable,8,30000,04/23/23 19:04,"Merdeka St, Bekasi, Jawa Barat 30301"
147133,Lightning Charging Cable,9,30000,04/08/23 01:00,"Pemuda St, Bekasi, Jawa Barat 30301"
147134,Flatscreen TV,1,4000000,04/14/23 13:00,"Soekarno Hatta St, Semarang, Jawa Tengah 98101"
147135,Macbook Pro Laptop,10,26000000,04/25/23 19:56,"Raden Ajeng Kartini St, Semarang, Jawa Tengah 98101"
147136,Macbook Pro Laptop,7,26000000,04/03/23 20:03,"Dewi Sartika St, Bogor, Jawa Barat 75001"
147137,27in FHD Monitor,9,3000000,04/05/23 00:32,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
147138,USB-C Charging Cable,9,20000,04/11/23 19:16,"Asia Afrika St, Jakarta, DKI Jakarta 02215"
147139,USB-C Charging Cable,9,20000,04/27/23 18:13,"Hayam Wuruk St, Jakarta, DKI Jakarta 02215"
147140,Lightning Charging Cable,6,30000,04/02/23 09:32,"Kebon Sirih St, Jakarta, DKI Jakarta 02215"
147141,Lightning Charging Cable,1,30000,04/09/23 19:17,"Asia Tenggara St, Surabaya, Jawa Timur 97035"
147142,34in Ultrawide Monitor,7,6000000,04/15/23 17:56,"Asia Afrika St, Bandung, Jawa Barat 94016"
147143,Lightning Charging Cable,10,30000,04/30/23 11:44,"Hayam Wuruk St, Depok, Jawa Barat 73301"
147144,AA Batteries (4-pack),7,40000,04/11/23 00:53,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
147145,34in Ultrawide Monitor,2,6000000,04/19/23 17:02,"Gajah Mada St, Bogor, Jawa Barat 75001"
147146,Wired Headphones,6,150000,04/04/23 18:25,"Jend. Sudirman St, Jakarta, DKI Jakarta 02215"
147147,27in FHD Monitor,4,3000000,04/02/23 18:42,"Merdeka St, Cirebon, Jawa Barat 90001"
147148,Lightning Charging Cable,8,30000,04/12/23 09:45,"M. H. Thamrin St, Surabaya, Jawa Timur 97035"
147149,AAA Batteries (4-pack),2,32000,04/03/23 13:43,"Jend. Ahmad Yani St, Depok, Jawa Barat 73301"
147150,Bose SoundSport Headphones,8,1500000,04/12/23 22:12,"Merdeka St, Depok, Jawa Barat 73301"
147151,AA Batteries (4-pack),3,40000,04/14/23 19:43,"Panglima Polin St, Bandung, Jawa Barat 94016"
147152,ThinkPad Laptop,10,15000000,04/08/23 10:45,"Imam Bonjol St, Cirebon, Jawa Barat 90001"
147153,AA Batteries (4-pack),4,40000,04/12/23 18:51,"Soekarno Hatta St, Bekasi, Jawa Barat 30301"
147154,USB-C Charging Cable,6,20000,04/03/23 13:54,"Jend. Sudirman St, Bandung, Jawa Barat 94016"
147155,Wired Headphones,2,150000,04/07/23 22:38,"Panglima Polin St, Bandung, Jawa Barat 94016"
147156,AA Batteries (4-pack),2,40000,04/30/23 21:54,"Pangeran Diponegoro St, Surabaya, Jawa Timur 97035"
147157,Wired Headphones,1,150000,04/02/23 10:00,"Asia Afrika St, Bandung, Jawa Barat 94016"
147158,34in Ultrawide Monitor,5,6000000,04/25/23 10:41,"Hayam Wuruk St, Cirebon, Jawa Barat 90001"
147159,AAA Batteries (4-pack),2,32000,04/20/23 21:04,"M. H. Thamrin St, Bandung, Jawa Barat 94016"
147160,Bose SoundSport Headphones,8,1500000,04/08/23 11:44,"Jend. Ahmad Yani St, Surabaya, Jawa Timur 97035"
147161,AAA Batteries (4-pack),3,32000,04/17/23 08:33,"Gajah Mada St, Jakarta, DKI Jakarta 02215"
147162,Bose SoundSport Headphones,6,1500000,04/23/23 20:10,"Soekarno Hatta St, Cirebon, Jawa Barat 90001"
147163,iPhone,10,18000000,04/19/23 11:26,"Dewi Sartika St, Surabaya, Jawa Timur 97035"
147163,Lightning Charging Cable,8,30000,04/19/23 11:26,"Dewi Sartika St, Surabaya, Jawa Timur 97035"
147164,Flatscreen TV,8,4000000,04/08/23 10:05,"Asia Afrika St, Jakarta, DKI Jakarta 02215"
147165,Apple Airpods Headphones,2,2500000,04/13/23 19:00,"H. Agus Salim St, Bandung, Jawa Barat 94016"
147166,27in 4K Gaming Monitor,8,6400000,04/17/23 07:56,"Imam Bonjol St, Bandung, Jawa Barat 94016"
147167,Lightning Charging Cable,4,30000,04/02/23 07:53,"H. Agus Salim St, Cirebon, Jawa Barat 90001"
147168,27in 4K Gaming Monitor,5,6400000,04/18/23 11:58,"Asia Afrika St, Cirebon, Jawa Barat 90001"
147169,iPhone,3,18000000,04/20/23 15:07,"Panglima Polin St, Surabaya, Jawa Timur 97035"
147170,AA Batteries (4-pack),7,40000,04/30/23 19:30,"Asia Tenggara St, Bandung, Jawa Barat 94016"
